Date,RateType,ExchangeRate,Source,LoadTimestampUTC,OfficialCarriedForward,ParallelCarriedForward
2024-06-07,Official FX,36.4882,DolarAPI Oficial Histórico (calendar-filled),2026-04-17T12:49:02.779242+00:00,False,
2024-06-08,Official FX,36.4882,DolarAPI Oficial Histórico (calendar-filled),2026-04-17T12:49:02.779242+00:00,False,
2024-06-09,Official FX,36.4882,DolarAPI Oficial Histórico (calendar-filled),2026-04-17T12:49:02.779242+00:00,False,
2024-06-10,Official FX,36.4787,DolarAPI Oficial Histórico (calendar-filled),2026-04-17T12:49:02.779242+00:00,False,
2024-06-11,Official FX,36.45,DolarAPI Oficial Histórico (calendar-filled),2026-04-17T12:49:02.779242+00:00,False,
2024-06-12,Official FX,36.4385,DolarAPI Oficial Histórico (calendar-filled),2026-04-17T12:49:02.779242+00:00,False,
2024-06-13,Official FX,36.4497,DolarAPI Oficial Histórico (calendar-filled),2026-04-17T12:49:02.779242+00:00,False,
2024-06-14,Official FX,36.4296,DolarAPI Oficial Histórico (calendar-filled),2026-04-17T12:49:02.779242+00:00,False,
2024-06-15,Official FX,36.4296,DolarAPI Oficial Histórico (calendar-filled),2026-04-17T12:49:02.779242+00:00,False,
2024-06-16,Official FX,36.4296,DolarAPI Oficial Histórico (calendar-filled),2026-04-17T12:49:02.779242+00:00,False,
2024-06-17,Official FX,36.4296,DolarAPI Oficial Histórico (calendar-filled),2026-04-17T12:49:02.779242+00:00,False,
2024-06-18,Official FX,36.4176,DolarAPI Oficial Histórico (calendar-filled),2026-04-17T12:49:02.779242+00:00,False,
2024-06-19,Official FX,36.3939,DolarAPI Oficial Histórico (calendar-filled),2026-04-17T12:49:02.779242+00:00,False,
2024-06-20,Official FX,36.3831,DolarAPI Oficial Histórico (calendar-filled),2026-04-17T12:49:02.779242+00:00,False,
2024-06-21,Official FX,36.3789,DolarAPI Oficial Histórico (calendar-filled),2026-04-17T12:49:02.779242+00:00,False,
2024-06-22,Official FX,36.3789,DolarAPI Oficial Histórico (calendar-filled),2026-04-17T12:49:02.779242+00:00,False,
2024-06-23,Official FX,36.3789,DolarAPI Oficial Histórico (calendar-filled),2026-04-17T12:49:02.779242+00:00,False,
2024-06-24,Official FX,36.3789,DolarAPI Oficial Histórico (calendar-filled),2026-04-17T12:49:02.779242+00:00,False,
2024-06-25,Official FX,36.3725,DolarAPI Oficial Histórico (calendar-filled),2026-04-17T12:49:02.779242+00:00,False,
2024-06-26,Official FX,36.3655,DolarAPI Oficial Histórico (calendar-filled),2026-04-17T12:49:02.779242+00:00,False,
2024-06-27,Official FX,36.3823,DolarAPI Oficial Histórico (calendar-filled),2026-04-17T12:49:02.779242+00:00,False,
2024-06-28,Official FX,36.4085,DolarAPI Oficial Histórico (calendar-filled),2026-04-17T12:49:02.779242+00:00,False,
2024-06-29,Official FX,36.4085,DolarAPI Oficial Histórico (calendar-filled),2026-04-17T12:49:02.779242+00:00,False,
2024-06-30,Official FX,36.4085,DolarAPI Oficial Histórico (calendar-filled),2026-04-17T12:49:02.779242+00:00,False,
2024-07-01,Official FX,36.4462,DolarAPI Oficial Histórico (calendar-filled),2026-04-17T12:49:02.779242+00:00,False,
2024-07-02,Official FX,36.4551,DolarAPI Oficial Histórico (calendar-filled),2026-04-17T12:49:02.779242+00:00,False,
2024-07-03,Official FX,36.4672,DolarAPI Oficial Histórico (calendar-filled),2026-04-17T12:49:02.779242+00:00,False,
